country,source_id,source_label,kind,publisher,input_type,output_schema,output_columns
MX,506,Personas de Interes (2014) [ALEPH],(unknown),,company_name,Company,collection_id;collection_label;entity_schema;company_name;company_id;company_address;company_country;company_jurisdiction;company_status;company_incorporation_date;company_dissolution_date;company_website;company_owner_person;company_owner_company
MX,506,Personas de Interes (2014) [ALEPH],(unknown),,company_id,Company,collection_id;collection_label;entity_schema;company_name;company_id;company_address;company_country;company_jurisdiction;company_status;company_incorporation_date;company_dissolution_date;company_website;company_owner_person;company_owner_company
MX,506,Personas de Interes (2014) [ALEPH],(unknown),,person_name,Person,collection_id;collection_label;entity_schema;person_name;person_id;person_dob;person_nationality;person_address;person_country;person_website
MX,506,Personas de Interes (2014) [ALEPH],(unknown),,person_id,Person,collection_id;collection_label;entity_schema;person_name;person_id;person_dob;person_nationality;person_address;person_country;person_website
MX,506,Personas de Interes (2014) [ALEPH],(unknown),,generic_query,Entity,id;schema;caption;countries;addresses;websites;publisher;collection_id
