country,source_id,source_label,kind,publisher,input_type,output_schema,output_columns
GG,183,Guernsey Registry [ALEPH],(unknown),,company_name,Company,collection_id;collection_label;entity_schema;company_name;company_id;company_address;company_country;company_jurisdiction;company_status;company_incorporation_date;company_dissolution_date;company_website;company_owner_person;company_owner_company
GG,183,Guernsey Registry [ALEPH],(unknown),,company_id,Company,collection_id;collection_label;entity_schema;company_name;company_id;company_address;company_country;company_jurisdiction;company_status;company_incorporation_date;company_dissolution_date;company_website;company_owner_person;company_owner_company
GG,183,Guernsey Registry [ALEPH],(unknown),,generic_query,Entity,id;schema;caption;countries;addresses;websites;publisher;collection_id
