country,source_id,source_label,kind,publisher,input_type,output_schema,output_columns
SI,954,Slovenia Vessels Registry [ALEPH],(unknown),,person_name,Person,collection_id;collection_label;entity_schema;person_name;person_id;person_dob;person_nationality;person_address;person_country;person_website
SI,954,Slovenia Vessels Registry [ALEPH],(unknown),,person_id,Person,collection_id;collection_label;entity_schema;person_name;person_id;person_dob;person_nationality;person_address;person_country;person_website
SI,954,Slovenia Vessels Registry [ALEPH],(unknown),,generic_query,Entity,id;schema;caption;countries;addresses;websites;publisher;collection_id
SI,8859,Slovenia — Register of lobbying contacts [ALEPH],(unknown),,person_name,Person,collection_id;collection_label;entity_schema;person_name;person_id;person_dob;person_nationality;person_address;person_country;person_website
SI,8859,Slovenia — Register of lobbying contacts [ALEPH],(unknown),,person_id,Person,collection_id;collection_label;entity_schema;person_name;person_id;person_dob;person_nationality;person_address;person_country;person_website
SI,8859,Slovenia — Register of lobbying contacts [ALEPH],(unknown),,generic_query,Entity,id;schema;caption;countries;addresses;websites;publisher;collection_id
