cymonides-1-rukkola,canonicalValue,text
cymonides-1-rukkola,class,keyword
cymonides-1-rukkola,className,text
cymonides-1-rukkola,content,text
cymonides-1-rukkola,content_vector,dense_vector
cymonides-1-rukkola,createdAt,date
cymonides-1-rukkola,description_vector,dense_vector
cymonides-1-rukkola,embedded_edges,nested
cymonides-1-rukkola,embedding_status,text
cymonides-1-rukkola,embedding_updated,date
cymonides-1-rukkola,graph_layout,object
cymonides-1-rukkola,id,keyword
cymonides-1-rukkola,label,text
cymonides-1-rukkola,lastSeen,date
cymonides-1-rukkola,metadata,object
cymonides-1-rukkola,node_class,text
cymonides-1-rukkola,projectId,text
cymonides-1-rukkola,properties,object
cymonides-1-rukkola,query,text
cymonides-1-rukkola,snippet,text
cymonides-1-rukkola,status,text
cymonides-1-rukkola,timestamp,date
cymonides-1-rukkola,type,keyword
cymonides-1-rukkola,typeName,text
cymonides-1-rukkola,updatedAt,date
cymonides-1-rukkola,url,text
cc_domain_filetypes,doc_count,integer
cc_domain_filetypes,document_authority_score,float
cc_domain_filetypes,domain,keyword
cc_domain_filetypes,filetypes,object
cc_domain_filetypes,first_indexed,date
cc_domain_filetypes,has_annual_reports,boolean
cc_domain_filetypes,last_updated,date
cc_domain_filetypes,pdf_count,integer
cc_domain_filetypes,sample_urls,keyword
cc_domain_filetypes,source,keyword
cc_domain_filetypes,total_documents,integer
cc_domain_filetypes,xls_count,integer
matrix_contrastive_routes,category,keyword
matrix_contrastive_routes,embedding,dense_vector
matrix_contrastive_routes,id,keyword
matrix_contrastive_routes,indexed_at,date
matrix_contrastive_routes,input_type,keyword
matrix_contrastive_routes,jurisdiction,keyword
matrix_contrastive_routes,metadata,object
matrix_contrastive_routes,output_type,keyword
matrix_contrastive_routes,reliability,keyword
matrix_contrastive_routes,source_id,keyword
matrix_contrastive_routes,success,boolean
matrix_contrastive_routes,text,text
system_database,canonicalValue,text
system_database,category,text
system_database,countries,text
system_database,db_path,text
system_database,description,text
system_database,id,text
system_database,indexed_at,date
system_database,inputs,text
system_database,label,text
system_database,outputs,text
system_database,query_capabilities,object
system_database,sources,text
youtube_commons,channel_id,text
youtube_commons,channel_name,text
youtube_commons,character_count,long
youtube_commons,language,text
youtube_commons,license,text
youtube_commons,original_language,text
youtube_commons,title,text
youtube_commons,transcript,text
youtube_commons,upload_date,date
youtube_commons,url,text
youtube_commons,video_id,text
